期間,我國對中國大陸及香港出口比重(我國海關統計),我國自中國大陸及香港進口比重(我國海關統計),我國對中國大陸及香港進出口比重(我國海關統計),我國對中國大陸出口比重(我國海關統計),我國自中國大陸進口比重(我國海關統計),我國對中國大陸進出口比重(我國海關統計),中國大陸對我國出口比重 (中國大陸海關統計),中國大陸自我國進口比重 (中國大陸海關統計),中國大陸對我國進出口比重 (中國大陸海關統計)
2011,40.3,15.9,28.6,27.3,15.3,21.6,1.8,7.2,4.4
2012,39.7,15.9,28.4,27.1,15.0,21.3,1.8,7.3,4.4
2013,40.3,16.2,28.9,27.1,15.6,21.7,1.8,8.0,4.7
2014,40.2,18.1,29.9,26.5,17.5,22.3,2.0,7.8,4.6
2015,39.5,19.8,30.6,25.8,19.1,22.8,2.0,8.5,4.8
2016,40.1,19.8,30.9,26.4,19.2,23.2,1.9,8.8,4.9
2017,41.2,20.0,31.7,28.1,19.5,24.2,1.9,8.4,4.9
2018,41.3,19.4,31.2,28.9,18.9,24.3,2.0,8.3,4.9
2019,40.1,20.5,31.0,27.9,20.1,24.3,2.2,8.3,5.0
2020,43.9,22.6,34.2,29.7,22.2,26.3,2.3,9.7,5.6
2021,42.3,22.0,33.0,28.2,21.6,25.2,2.4,9.3,5.5
2022,38.8,20.0,29.9,25.3,19.6,22.6,2.3,8.8,5.1
2023,35.2,20.4,28.6,22.1,20.0,21.2,2.0,7.8,4.5
2024年1-5月,31.0,20.1,26.0,20.5,19.7,20.2,2.1,7.5,4.4
