期間,我國對中國大陸及香港-出口(我國海關統計)(百萬美元),我國自中國大陸及香港-進口(我國海關統計)(百萬美元),我國對中國大陸及香港-貿易總額(我國海關統計)(百萬美元),我國對中國大陸-出口(我國海關統計)(百萬美元),我國自中國大陸-進口(我國海關統計)(百萬美元),我國對中國大陸-貿易總額(我國海關統計)(百萬美元),我國對中國大陸-出口(中國大陸海關統計)(百萬美元),我國自中國大陸-進口(中國大陸海關統計)(百萬美元),我國對中國大陸-貿易總額(中國大陸海關統計)(百萬美元)
2003,54192.2,12836.2,67028.4,23209.8,11095.7,34305.5,49362.3,9004.7,58367.0
2004,69791.3,19001.0,88792.3,36722.8,16891.5,53614.3,64778.6,13545.2,78323.8
2005,78276.4,22062.6,100338.9,44056.3,20161.6,64217.9,74684.4,16549.6,91234.0
2006,90046.0,26603.7,116649.7,52377.1,24909.0,77286.1,87109.0,20735.2,107844.2
2007,101202.7,29856.6,131059.3,62928.4,28221.2,91149.6,101021.7,23458.3,124480.0
2008,100503.1,32922.4,133425.5,67480.9,31569.6,99050.5,103337.6,25877.9,129215.5
2009,84475.0,25602.3,110077.3,54767.0,24554.4,79321.5,85722.9,20505.3,106228.2
2010,116120.4,37821.7,153942.2,77886.9,36255.2,114142.0,115693.9,29676.6,145370.5
2011,125804.5,45680.7,171485.2,85122.3,44094.8,129217.1,124919.9,35111.9,160031.8
2012,121083.2,44016.3,165099.6,82592.3,41431.4,124023.7,132183.9,36779.1,168963.0
2013,125305.5,44930.9,170236.4,84122.2,43345.5,127467.7,156636.9,40643.6,197280.5
2014,128481.1,50988.4,179469.5,84709.1,49253.6,133962.6,152029.5,46284.8,198314.3
2015,112386.4,46732.2,159118.6,73270.1,45264.7,118534.8,143306.7,44898.8,188205.5
2016,111986.1,45321.3,157307.5,73732.2,43990.8,117723.1,139217.2,40373.7,179590.9
2017,129910.6,51548.8,181459.4,88745.4,50037.1,138782.5,155385.6,43989.8,199375.4
2018,137898.8,55199.1,193097.9,96497.9,53789.8,150287.6,177597.6,48646.7,226244.3
2019,132114.6,58456.6,190571.1,91789.4,57394.4,149183.7,173002.0,55081.3,228083.3
2020,151381.4,64808.5,216189.9,102446.2,63587.8,166034.0,200664.4,60141.7,260806.1
2021,188874.6,84193.8,273068.4,125902.6,82484.8,208387.3,249979.4,78364.8,328344.2
2022,185875.2,85508.0,271383.1,121093.0,84002.3,205095.3,238091.7,81586.8,319678.4
2023,152247.6,71714.4,223962.0,95732.7,70229.8,165962.4,199349.8,68485.9,267835.7
2024年1-5月,57374.7,30858.1,88232.8,37992.8,30290.3,68283.2,79944.6,29285.5,109230.0
